<TICKER>,<DATE>,<CLOSE>
AFKS,10/01/08,41.55
AFKS,11/01/08,42.34
AFKS,12/01/08,46.2
AFKS,15/01/08,44.75
AFKS,16/01/08,44.6
AFKS,17/01/08,43.0
AFKS,18/01/08,42.499
AFKS,19/01/08,42.0
AFKS,22/01/08,40.0
AFKS,23/01/08,39.7
AFKS,24/01/08,38.0
AFKS,25/01/08,40.2
AFKS,26/01/08,41.4
AFKS,29/01/08,40.3
AFKS,30/01/08,40.2
AFKS,31/01/08,39.998
AFKS,01/02/08,38.699
AFKS,02/02/08,39.699
AFKS,05/02/08,40.593
AFKS,06/02/08,39.687
AFKS,07/02/08,39.6
AFKS,08/02/08,39.46
AFKS,09/02/08,38.2
AFKS,12/02/08,38.01
AFKS,13/02/08,40.277
AFKS,14/02/08,40.601
AFKS,15/02/08,40.0
AFKS,16/02/08,39.75
AFKS,19/02/08,40.0
AFKS,20/02/08,39.95
AFKS,21/02/08,39.9
AFKS,22/02/08,39.6
AFKS,23/02/08,39.595
AFKS,27/02/08,39.5
AFKS,28/02/08,39.0
AFKS,29/02/08,38.7
AFKS,01/03/08,38.2
AFKS,04/03/08,38.0
AFKS,05/03/08,38.075
AFKS,06/03/08,37.95
AFKS,07/03/08,38.225
AFKS,08/03/08,37.3
AFKS,12/03/08,37.0
AFKS,13/03/08,36.697
AFKS,14/03/08,36.75
AFKS,15/03/08,36.997
AFKS,18/03/08,35.522
AFKS,19/03/08,35.2
AFKS,20/03/08,34.745
AFKS,21/03/08,34.4
AFKS,22/03/08,34.2
AFKS,25/03/08,34.85
AFKS,26/03/08,34.2
AFKS,27/03/08,33.6
AFKS,28/03/08,34.0
AFKS,29/03/08,33.95
AFKS,01/04/08,33.75
AFKS,02/04/08,33.8
AFKS,03/04/08,33.909
AFKS,04/04/08,33.66
AFKS,05/04/08,33.8
AFKS,08/04/08,34.2
AFKS,09/04/08,33.669
AFKS,10/04/08,33.512
AFKS,11/04/08,33.41
AFKS,12/04/08,33.5
AFKS,15/04/08,32.881
AFKS,16/04/08,33.0
AFKS,17/04/08,33.375
AFKS,18/04/08,32.0
AFKS,19/04/08,32.385
AFKS,22/04/08,32.45
AFKS,23/04/08,31.984
AFKS,24/04/08,31.656
AFKS,25/04/08,31.62
AFKS,26/04/08,31.38
AFKS,29/04/08,31.36
AFKS,30/04/08,31.79
AFKS,01/05/08,31.5
AFKS,05/05/08,32.2
AFKS,06/05/08,32.0
AFKS,07/05/08,31.65
AFKS,08/05/08,31.7
AFKS,09/05/08,31.6
AFKS,13/05/08,31.898
